"District Code","Building Code","Type","CHARTCD","CHARTNAME","ISD","City Code","Geoloc","Building Name","ADDR1","ADDR2","CITY1","CITY2","ZIP1","ZIP2","COMNAME","GRADESET","MAGNET","REGCFG","EIN","NCES","FUNCTION","RELORIENT","LNAME","FNAME","MIDINIT","HONORIFIC","ADASSIGN","TELEPHONE","FAX","EMAIL","WEBADDR","OPENDATE","CLOSEDATE","STATUS","OWNERSHIP","HDCOUNT","HISTORY","GRADESTR"
"17000","00000","02",,,"17","17",,"Eastern Upper Peninsula ISD","P.O. Box 883","315 ARMORY PL","Sault Ste. Marie","SAULT SAINTE MARIE","49783-0883","49783-2005","Eastern UP ISD",,,,,"2680280",,,"Everson","Peter","J","Mr.","01","9066323373","9066321125","peverson@eup.k12.mi.us","www.eup.k12.mi.us","01/01/1900",,"01","01","F",,", AdultEd, Alt, GenEd, HealthCtr, JuvDtn, PK, RCCI"
"18000","00000","02",,,"18","18",,"Clare-Gladwin Regional Education Service District","4041 EAST MANNSIDING RD","4041 EAST MANNSIDING RD","CLARE","CLARE","48617-9753","48617-9753","Clare-Gladwin RESD",,,,,"2680300",,,"Presler","Sheryl","L","Mrs.","01","9893863851","9893863238","spresler@cgresd.net",,"07/01/1973",,"01","01","F",,", AdultEd, Alt, GenEd, PK, RCCI, SchlChoice, SpecE"
"19000","00000","02",,,"19","19",,"Clinton County RESA","1013 SOUTH US HIGHWAY 27 STE A","1013 SOUTH US HIGHWAY 27 STE A","SAINT JOHNS","SAINT JOHNS","48879-2423","48879-2423","Clinton RESA",,,,,"2680320",,,"Hagel","John",,"Mr.","01","9892246831","9892249574","jhagel@ccresa.org","www.ccresa.org","07/01/1963",,"01","01","F",,"KG-Part,1-12, Alt, GenEd, JuvDtn, PK, RCCI, SchlCh"
"21000","00000","02",,,"21","21",,"Delta-Schoolcraft ISD","2525 3RD AVE S","2525 3RD AVE S","ESCANABA","ESCANABA","49829-1258","49829-1258","Delta-Schoolcraft ISD",,,,,"2680340",,,"Koster","Michael","F","Mr.","01","9067869300","9067869318","mkoster@dsisd.k12.mi.us",,"01/01/1900",,"01","01","F",,"8-12, Alt, GenEd, PK, RCCI, SchlChoice, SpecEd"
"22000","00000","02",,,"22","22",,"Dickinson-Iron ISD","1074 PYLE DR","1074 PYLE DR","KINGSFORD","KINGSFORD","49802-4451","49802-4451","Dickinson-Iron ISD",,,,,"2680360",,,"Ostwald","Johanna","M","Mrs.","01","9067792690","9067792669","jostwald@diisd.org","www.diisd.org","01/01/1900",,"01","01","F",,"9-12, AdultEd, Alt, BSAS, FamResCtr, GenEd, PK, RC"
"23000","00000","02",,,"23","23",,"Eaton ISD","1790 E. PACKARD HWY","1790 Packard Hwy","CHARLOTTE","Charlotte","48813-9717","48813-9717","Eaton ISD",,,,,"2680380",,,"Widner","Albert","A","Mr.","01","5175418720","5175436633","awidner@eatonisd.org","eatonisd.org","07/01/1962",,"01","01","F",,"1-12, AdultEd, Alt, GenEd, PK, RCCI, SchlChoice, S"
"25000","00000","02",,,"25","25",,"Genesee ISD","2413 WEST MAPLE AVE","2413 WEST MAPLE AVE","FLINT","FLINT","48507-3429","48507-3429","Genesee ISD",,,,,"2680400",,,"Hagel","Lisa","A","Mrs.","01","8105914402","8105914899","lhagel@geneseeisd.org","www.geneseeisd.org","01/01/1900",,"01","01","F",,"KG-Part,1-12, 21CCL, AdultEd, Alt, BSAS, Delinq, F"
"27000","00000","02",,,"27","66",,"Gogebic-Ontonagon ISD","P.O. Box 218","202 ELM ST","Bergland","BERGLAND","49910-0218","49910","Gogebic-Ontonagon ISD",,,,,"2680420",,,"Mayle","Bruce","F","Mr.","01","9065753438","9065753373","bmayle@goisd.org","www.goisd.org","01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, GenE"
"28000","00000","02",,,"28","28",,"Traverse Bay Area ISD","P.O. Box 6020","1101 RED DR","Traverse City","TRAVERSE CITY","49696-6020","49684-4465","Traverse Bay ISD",,,,,"2680440",,,"Hill","Michael","J","Mr.","01","2319226200","2319226270","mhill@tbaisd.k12.mi.us","www.tbaisd.k12.mi.us","01/01/1900",,"01","01","F",,"KG-Part,1-12, 21CCL, AdultEd, Alt, Boarding, BSAS,"
"29000","00000","02",,,"29","29",,"Gratiot-Isabella RESD","P.O. Box 310","1131 EAST CENTER ST","Ithaca","ITHACA","48847-0310","48847-1603","Gratiot-Isabella RESD",,,,,"2680460",,,"Amsterburg","Jan","C","Dr.","01","9898755101","9898752858","jamsterburg@giresd.net","www.giresd.net/giresd/","01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, BSAS"
"30000","00000","02",,,"30","30",,"Hillsdale ISD","310 WEST BACON ST","310 WEST BACON ST","HILLSDALE","HILLSDALE","49242-1546","49242-1546","Hillsdale ISD",,,,,"2680480",,,"Henthorne","Robert",,"Mr.","01","5174370990","5174394388","rhenthorne@hillsdale-isd.org","hillsdale-isd.org","01/01/1900",,"01",,"F",,"KG-Part,1-12, AdultEd, Alt, BSAS, GenEd, JuvDtn, P"
"31000","00000","02",,,"31","31",,"Copper Country ISD","809 HECLA ST","809 HECLA ST","HANCOCK","HANCOCK","49930-1212","49930-1212","Copper Country ISD",,,,,"2680505",,,"Harbour","Dennis",,"Mr.","01","9064824250","9064821931","dharbour@copperisd.org","www.copperisd.org","01/01/1900",,"01","01","F",,"1-12, 21CCL, Alt, BSAS, GenEd, PK, RCCI, SchlChoic"
"32000","00000","02",,,"32","32",,"Huron ISD","1299 S. Thomas Road, Suite 1","1299 South Thomas Road, Suite 1","BAD AXE","Bad Axe","48413-9779","48413","Huron ISD",,,,,"2680500",,,"Murphy","Joseph",,"Mr.","01","9892693460","9892699218","jmurphy@hisd.k12.mi.us",,"01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, GenE"
"33000","00000","02",,,"33","33",,"Ingham ISD","2630 WEST HOWELL RD","2630 WEST HOWELL RD","MASON","MASON","48854-9392","48854-9392","Ingham ISD",,,,,"2680520",,,"Kogut","Stan",,"Mr.","01","5172441214","5176761714","skogut@inghamisd.org","inghamisd.org","01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, Deli"
"34000","00000","02",,,"34","34",,"Ionia ISD","2191 HARWOOD RD","2191 HARWOOD RD","IONIA","IONIA","48846-9458","48846-9458","Ionia ISD",,,,,"2680540",,,"Kjolhede","Robert","J","Mr.","01","6165274900","6165274731","rkjolhede@ioniaisd.org",,"01/01/1900",,"01",,"F",,", AdultEd, Alt, BSAS, GenEd, PK, SchlChoice, SpecE"
"35000","00000","02",,,"35","35",,"Iosco RESA","27 NORTH REMPERT RD","27 NORTH REMPERT RD","TAWAS CITY","TAWAS CITY","48763-9752","48763-9752","Iosco RESA",,,,,"2680560",,,"McGrew","Dana",,"Mr.","01","9893623006","9893629076","dmcgrew@ioscoresa.net","www.iresa.k12.mi.us","01/01/1900",,"01","01","F",,"1-12, Alt, GenEd, PK, SchlChoice, SpecEd, SpecEdCt"
"38000","00000","02",,,"38","38",,"Jackson ISD","6700 BROWNS LAKE RD","6700 BROWNS LAKE RD","JACKSON","JACKSON","49201-8379","49201-8379","Jackson ISD",,,,,"2680580",,,"Oxley","Kevin",,"Mr.","01","5177685141","5177872026","kevin.oxley@jcisd.org",,"01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, BSAS"
"39000","00000","02",,,"39","39",,"Kalamazoo RESA","1819 EAST MILHAM AVE","1819 EAST MILHAM AVE","KALAMAZOO","KALAMAZOO","49002-3035","49002-3035","Kalamazoo RESA",,,,,"2680600",,,"Fuller","Ronald","L","Mr.","01","2693851510","2693819423","rfuller@kresa.org","www.kresa.org","01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, BSAS"
"41000","00000","02",,,"41","41",,"Kent ISD","2930 KNAPP ST NE","2930 KNAPP ST NE","GRAND RAPIDS","GRAND RAPIDS","49525-4518","49525-4518","Kent ISD",,,,,"2680620",,,"Konarska","Kevin",,"Mr.","01","6163641333","6163641488","kevinkonarska@kentisd.org","www.kentisd.org","01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, 21CCL, AdultEd, Al"
"44000","00000","02",,,"44","44",,"Lapeer ISD","1996 WEST OREGON ST","1996 WEST OREGON ST","LAPEER","LAPEER","48446-1121","48446-1121","Lapeer ISD",,,,,"2680660",,,"Keena","Joseph",,"Mr.","01","8106645917","8106641011","jkeena@lcisd.k12.mi.us","www.lcisd.k12.mi.us","01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, GenEd, PK, RCCI, Sc"
"46000","00000","02",,,"46","46",,"Lenawee ISD","4107 NORTH ADRIAN HWY","4107 NORTH ADRIAN HWY","ADRIAN","ADRIAN","49221-8313","49221-8313","Lenawee ISD",,,,,"2680680",,,"Philp","James",,"Mr.","01","5172651627","5172659875","Jim.Philp@lisd.us",,"01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, BSAS"
"47000","00000","02",,,"47","47",,"Livingston ESA","1425 WEST GRAND RIVER AVE","1425 WEST GRAND RIVER AVE","HOWELL","HOWELL","48843-1916","48843-1916","Livingston ESA",,,,,"2680700",,,"Menzel","Scott","A","Mr.","01","5175465550","5175467047","scottmenzel@livingstonesa.org",,"01/01/1900",,"01","01","F",,"1-12, AdultEd, Alt, BSAS, GenEd, PK, RCCI, SchlCho"
"50000","00000","02",,,"50","50",,"Macomb ISD","44001 GARFIELD RD","44001 GARFIELD RD","CLINTON TOWNSHIP","CLINTON TOWNSHIP","48038-1100","48038-1100","Macomb ISD",,,,,"2680720",,,"DeVault","Michael",,"Dr.","01","5862283300","5862864420","mdevault@misd.net",,"01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, BSAS, Faith, GenEd,"
"51000","00000","02",,,"51","51",,"Manistee ISD","772 EAST PARKDALE AVE","772 EAST PARKDALE AVE","MANISTEE","MANISTEE","49660-9110","49660-9110","Manistee ISD",,,,,"2680740",,,"Crosby","Scott",,"Mr.","01","2317234264","2313983036","scrosby@manistee.org","www.manistee.org","01/01/1900",,"01","01","F",,", Alt, GenEd, PK, SchlChoice, SpecEd"
"52000","00000","02",,,"52","52",,"Marquette-Alger RESA","321 EAST OHIO ST","321 EAST OHIO ST","MARQUETTE","MARQUETTE","49855-3847","49855-3847","Marquette-Alger RESA",,,,,"2680750",,,"Peffers","Steven",,"Mr.","01","9062265101","9062265134","speffers@maresa.org","www.maresa.org","01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, FamResCtr, GenEd, J"
"53000","00000","02",,,"53","53",,"Mason-Lake ISD","2130 WEST US HIGHWAY 10","2130 WEST US HIGHWAY 10","LUDINGTON","LUDINGTON","49431-8319","49431-8319","Mason-Lake ISD",,,,,"2680755",,,"Lloyd","Lawrence",,"Mr.","01","2317573716","2317572406","llloyd@mlisd.k12.mi.us","www.mloisd.org","01/01/1900",,"01","01","F",,"10-12, AdultEd, Alt, GenEd, OSTime, PK, SchlChoice"
"54000","00000","02",,,"54","54",,"Mecosta-Osceola ISD","15760 190TH AVE","15760 190TH AVE","BIG RAPIDS","BIG RAPIDS","49307-9096","49307-9096","Mecosta-Osceola ISD",,,,,"2680770",,,"Finch, Jr.","Curtis","E","Dr.","01","2317963543","2317963300","cfinch@moisd.org","moisd.org","01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, BSAS, GenEd, PK, RC"
"55000","00000","02",,,"55","55",,"Menominee ISD","1201 41ST AVE","1201 41ST AVE","MENOMINEE","MENOMINEE","49858-1102","49858-1102","Menominee ISD",,,,,"2680790",,,"Godwin","Lawrence",,"Mr.","01","9068635665","9068637776","lgodwin@mc-isd.org","mc-isd.org","01/01/1900",,"01","01","F",,"1-12, AdultEd, Alt, GenEd, PK, SchlChoice, SpecEd,"
"56000","00000","02",,,"56","56",,"Midland County Educational Service Agency","3917 JEFFERSON AVE","3917 JEFFERSON AVE","MIDLAND","MIDLAND","48640-3582","48640-3582","Midland County ESA",,,,,"2680800",,,"Volz","Clark",,"Mr.","01","9896315890","9896314361","cvolz@mcesa.k12.mi.us",,"01/01/1900",,"01","01","F",,"KG-Part,1-12, AdultEd, Alt, BSAS, ChildNutr, Delin"
"58000","00000","02",,,"58","58",,"Monroe ISD","1101 SOUTH RAISINVILLE RD","1101 SOUTH RAISINVILLE RD","MONROE","MONROE","48161-9047","48161-9047","Monroe ISD",,,,,"2680820",,,"Spencer","Donald","A","Dr.","01","7342425799","7342420567","donald.spencer@monroeisd.us","misd.k12.mi.us","01/01/1900",,"01","01","F",,"5-12, AdultEd, Alt, BSAS, GenEd, PK, RCCI, SchlCho"
"59000","00000","02",,,"59","59",,"Montcalm Area ISD","P.O. Box 367","621 NORTH NEW ST","Stanton","STANTON","48888-0367","48888-9459","Montcalm ISD",,,,,"2680830",,,"Koenigsknecht","Scott","M","Dr.","01","9898315261","9898318727","drk@maisd.com","www.maisd.com","01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, Boarding, GenEd, PK"
"61000","00000","02",,,"61","61",,"Muskegon Area ISD","630 HARVEY ST","630 HARVEY ST","MUSKEGON","MUSKEGON","49442-4278","49442-4278","Muskegon ISD",,,,,"2680850",,,"Meston","Susan",,"Dr.","01","2317677201","2317731028","smeston@muskegonisd.org","www.muskegonisd.org","01/01/1900",,"01",,"F",,"7-12, AdultEd, Alt, BSAS, FamResCtr, GenEd, JuvDtn"
"62000","00000","02",,,"62","62",,"Newaygo County RESA","4747 WEST 48TH ST","4747 WEST 48TH ST","FREMONT","FREMONT","49412-7205","49412-7205","Newaygo County RESA",,,,,"2680860",,,"Tubbergen Clark","Lori","L","Dr.","01","2319248854","2319248910","lclark@ncresa.org","http://www.ncresa.org/page1.aspx","01/01/1900",,"01","01","F",,"9-12, AdultEd, Alt, BSAS, GenEd, OSTime, PK, RCCI,"
"63000","00000","02",,,"63","63",,"Oakland Schools","2111 PONTIAC LAKE RD","2111 PONTIAC LAKE RD","WATERFORD","WATERFORD","48328-2736","48328-2736","Oakland Schools",,,,,"2680880",,,"Schmidt","Carole",,"Dr.","02","2482092141","2482092206","Carole.Schmidt@oakland.k12.mi.us","www.oakland.k12.mi.us","03/28/1963",,"01","01","F",,"KG,1-12, 21CCL, AdultEd, Alt, Boarding, BSAS, FamR"
"64000","00000","02",,,"64","64",,"Oceana Intermediate School District","844 SOUTH GRISWOLD ST","844 SOUTH GRISWOLD ST","HART","HART","49420-9756","49420-9756","Oceana ISD",,,,,"2680890",,,"Lloyd","Larry",,"Mr.","01","2318735651","2318735779","llloyd@mloisd.org","www.mlisd.k12.mi.us/Pages/Default.aspx","01/01/1900",,"01","01","F",,"KG,1-12, AdultEd, Alt, BSAS, GenEd, PK, SchlChoice"
"70000","00000","02",,,"70","70",,"Ottawa Area ISD","13565 PORT SHELDON ST","13565 PORT SHELDON ST","HOLLAND","HOLLAND","49424-9241","49424-9241","Ottawa ISD",,,,,"2680900",,,"McPhee","Karen",,"Ms.","01","6167388940","6167388946","kmcphee@oaisd.org","www.oaisd.org","01/01/1900",,"01","01","F",,"KG-Part,1-12, AdultEd, Alt, BSAS, GenEd, OSTime, P"
"72000","00000","02",,,"72","72",,"C.O.O.R. ISD","P.O. Box 827","11051 NORTH CUT RD","Roscommon","ROSCOMMON","48653-0827","48653-9340","COOR ISD",,,,,"2680920",,,"Jones","Robert","F","Mr.","01","9892759520","9892755881","jonesr@coorisd.k12.mi.us","www.coorisd.k12.mi.us","01/01/1900",,"01","01","F",,"KG,1-12, AdultEd, Alt, Delinq, GenEd, PK, RCCI, Sc"
"73000","00000","02",,,"73","73",,"Saginaw ISD","6235 GRATIOT RD","6235 GRATIOT RD","SAGINAW","SAGINAW","48638-5987","48638-5987","Saginaw ISD",,,,,"2680930",,,"Syrek","Richard",,"Dr.","01","9892498701","9897931571","rsyrek@sisd.cc",,"01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, 21CCL, AdultEd, Al"
"74000","00000","02",,,"74","74",,"St. Clair County RESA","P.O. Box 1500","499 RANGE RD","Marysville","MARYSVILLE","48040","48040-2220","St. Clair ISD",,,,,"2680940",,,"DeGrow","Dan","L","Mr.","01","8103648990","8103647474","day.kim@sccresa.org","www.sccresa.org","01/01/1900",,"01","01","F",,"11-12, 21CCL, AdultEd, Alt, BSAS, GenEd, PK, RCCI,"
"75000","00000","02",,,"75","75",,"St. Joseph County ISD","62445 Shimmel Road","62445 Shimmel Road","Centreville","Centreville","49032","49032","St. Joseph ISD",,,,,"2680960",,,"Marshall","Barbara","A","Mrs.","01","2694675400","2694674309","barbaram@sjcisd.org","www.sjcisd.org","01/01/1900",,"01","01","F",,"KG,KG-Part,1-12, AdultEd, Alt, BSAS, GenEd, PK, Sc"
"76000","00000","02",,,"76","76",,"Sanilac ISD","175 EAST AITKEN RD","175 EAST AITKEN RD","PECK","PECK","48466-9608","48466-9608","Sanilac ISD",,,,,"2680965",,,"Lange","Duane",,"Mr.","01","8106484700","8106485784","dlange@sanilac.k12.mi.us","www.sanilac.k12.mi.us","01/01/1962",,"01","01","F",,"9-12, AdultEd, Alt, GenEd, PK, SchlChoice, SpecEd,"
"78000","00000","02",,,"78","78",,"Shiawassee Regional ESD","1025 NORTH SHIAWASSEE ST","1025 NORTH SHIAWASSEE ST","CORUNNA","CORUNNA","48817-1151","48817-1151","Shiawassee RESD",,,,,"2680975",,,"Hagel","John","E","Mr.","01","9897433471","9897436477","sresdsupt@sresd.org",,"01/01/1900",,"01","01","F",,"RetK,RetK-Part,KG,KG-Part,1-12, AdultEd, Alt, Boar"
"79000","00000","02",,,"79","79",,"Tuscola ISD","1385 CLEAVER RD","1385 CLEAVER RD","CARO","CARO","48723-9135","48723-9135","Tuscola ISD",,,,,"2680980",,,"Pierce","Eugene",,"Mr.","01","9896732144","9896735366","gpierce@tuscolaisd.org","www.tisd.k12.mi.us","01/01/1900",,"01","01","F",,"9-12, AdultEd, Alt, GenEd, PK, RCCI, SchlChoice, S"
"80000","00000","02",,,"80","80",,"Van Buren ISD","490 SOUTH PAW PAW ST","490 SOUTH PAW PAW ST","LAWRENCE","LAWRENCE","49064-9328","49064-9328","Van Buren ISD",,,,,"2680985",,,"Mills","Jeffrey","C","Mr.","01","2696748091","2696748030","jmills@vbisd.org",,"01/01/1900",,"01","01","F",,"11-12, AdultEd, Alt, BSAS, GenEd, OSTime, PK, RCCI"
"81000","00000","02",,,"81","81",,"Washtenaw ISD","P.O. Box 1406","1819 SOUTH WAGNER RD","Ann Arbor","ANN ARBOR","48106-1406","48103-9715","Washtenaw ISD",,,,,"2680990",,,"Leyshock","Richard",,"Mr.","11","7349948100","7349942203","leyshock@wash.k12.mi.us","www.wash.k12.mi.us","01/01/1900",,"01",,"F",,"6-12, 21CCL, AdultEd, Alt, BSAS, GenEd, HealthCtr,"
"82000","00000","02",,,"82","82",,"Wayne RESA","P.O. Box 807","33500 VAN BORN RD","Wayne","WAYNE","48184-0807","48184-2474","Wayne RESA",,,,,"2680995",,,"Wigent","Christopher","A","Mr.","01","7343341300","7343262610","wigentc@resa.net",,"01/01/1900",,"01",,"F",,"RetK,RetK-Part,KG,KG-Part,1-12, 21CCL, AdultEd, Al"
"83000","00000","02",,,"83","83",,"Wexford-Missaukee ISD","9907 EAST 13TH ST","9907 EAST 13TH ST","CADILLAC","CADILLAC","49601-8754","49601-8754","Wexford-Missaukee ISD",,,,,"2680000",,,"Crosby","Scott",,"Mr.","01","2318762260","2318762261","scrosby@wmisd.org","www.wmisd.org","08/27/1963",,"01","01","F",,"KG,1-12, AdultEd, Alt, BSAS, GenEd, OSTime, PK, RC"
"03902","00000","09","0300000000","Allegan Area ESA","03","03","0303030","Outlook Academy","310 THOMAS ST","2565 111TH AVE","ALLEGAN","ALLEGAN","49010-9158","49010-9022","Outlook Academy",,,,,"2600274",,,"Cain","Rick",,"Mr.","03","2695617241","2695616901","rcain@fennville.org",,"08/21/2002",,"01","05","F",,"5-12, Alt, Delinq, GenEd, JuvDtn, SpecEd"
"05901","00000","09","0000002293","Lake Superior State University","28","05","0505010","Concord Montessori and Community School","5055 COREY RD","5055 COREY RD","MANCELONA","MANCELONA","49659-9467","49659-9467","Concord Montessori and Community School",,,,,"2600179",,,"Overton","Stephen","M","Mr.","03","2315842080","2315842082","soverton@concordmcs.com","http://concordmcs.com/","08/05/1998",,"01","01","F",,"KG,1-12, GenEd, SpecEd"
"09901","00000","09","0900000000","Bay-Arenac ISD","09","09","0909050","Bay-Arenac Community High School","1608 HUDSON ST","1608 HUDSON ST","ESSEXVILLE","ESSEXVILLE","48732-1363","48732-1363","Bay-Arenac Comm HS",,,,,"2600067",,,"Donlan","Ryan","A","Mr.","01","9898938811","9898957749","admin@bachs.us","bachs.us","08/28/1995",,"01","05","F",,"9-12, Alt, GenEd, SpecEd"
"09902","00000","09","0000666817","Bay Mills Community College","09","09","0909010","Bay County PSA","1110 STATE ST","1110 STATE ST","BAY CITY","BAY CITY","48706-3669","48706-3669","Bay County PSA",,,,,"2600264",,,"Parrish","Jennifer",,"Mrs.","41","9896846484","9896846202","jparrish@baycountypsa.org","www.baycountypsa.org","09/01/2001",,"01","01","F",,"KG,1-6, BSAS, GenEd, PK, SpecEd"
"11901","00000","09","0000002243","Central Michigan University","11","11","1111010","Countryside Academy","4800 MEADOWBROOK RD","4800 MEADOWBROOK RD","BENTON HARBOR","BENTON HARBOR","49022-9629","49022-9629","Countryside",,,,,"2600142",,,"Sperry","Lyn","S","Ms.","03","2699443319","2699443724","lsperry@countrysidecharter.com","http://www.countrysidecharter.com","05/30/1997",,"01","01","F",,"KG,KG-Part,1-12, Alt, GenEd, SpecEd, Tuit"
"11903","00000","09","0000002260","Ferris State University","11","11","1111010","Benton Harbor Charter School","455 RIVERVIEW DR STE 1","455 RIVERVIEW DR # SUITE1","BENTON HARBOR","BENTON HARBOR","49022-5080","49022-5080","Benton Harbor Charter",,,,,"2600191",,,"Harris","Tim","L","Mr.","06","2699253807","2699273673","timharris@choiceschools.com","www.bentonharborcharter.com","08/21/2000",,"01","01","F",,"KG,1-8, Alt, GenEd, PK, SpecEd"
"12901","00000","09","0000002243","Central Michigan University","12","12","1212010","Pansophia Academy","52 ABBOTT AVE","52 ABBOTT AVE","COLDWATER","COLDWATER","49036-1430","49036-1430","Pansophia",,,,,"2600068",,,"Ruff","Dell",,"Mr.","04","5172794686","5172790089","druff@scientist.com",,"09/05/1995",,"01","01","F",,"KG,1-12, GenEd, SpecEd"
